hour,src_scion_addr,dst_scion_addr,avg,src_ip_addr,dst_ip_addr
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","64-2:0:9,129.132.230.98:30041",191.6575,10.0.0.1,129.132.230.98
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041",179.71194444444444,10.0.0.1,62.40.110.132
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.2.1:30041",184.03277777777777,10.0.0.1,62.40.110.140
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.3.1:30041",187.73972222222224,10.0.0.1,62.40.110.148
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-225,127.0.0.1:30041",287.2850767085077,10.0.0.1,ccc
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:18,192.168.1.1:30041",2.0175,10.0.0.1,137.132.22.29
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3b,10.1.0.1:30041",433.3327777777778,10.0.0.1,134.75.254.214
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3e,10.10.0.1:30041",190.75055555555556,10.0.0.1,134.75.253.186
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3f,10.10.0.1:30041",279.02694444444444,10.0.0.1,134.75.254.171
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:48,127.0.0.1:30041",291.17215401785717,10.0.0.1,145.40.89.243
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:4a,141.44.25.151:30041",215.98361111111112,10.0.0.1,141.44.25.151
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:5c,127.0.0.1:30041",321.3161111111111,10.0.0.1,200.129.206.243
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-88,127.0.0.1:30041",290.4383714445064,10.0.0.1,128.112.49.68
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","64-2:0:9,129.132.230.98:30041",19.605116796440488,134.75.253.186,129.132.230.98
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.1.1:30041",12.202668890742284,134.75.253.186,62.40.110.132
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.2.1:30041",7.2546566583263825,134.75.253.186,62.40.110.140
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.3.1:30041",15.65721434528774,134.75.253.186,62.40.110.148
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-225,127.0.0.1:30041",105.06922435362802,134.75.253.186,ccc
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:18,192.168.1.1:30041",192.565749235474,134.75.253.186,137.132.22.29
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041",243.00889877641825,134.75.253.186,134.75.254.214
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041",190.91103697525716,134.75.253.186,134.75.254.68
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3f,10.10.0.1:30041",88.89491242702253,134.75.253.186,134.75.254.171
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:48,127.0.0.1:30041",114.7881567973311,134.75.253.186,145.40.89.243
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041",39.22574367528496,134.75.253.186,141.44.25.151
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041",141.29079788712815,134.75.253.186,200.129.206.243
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-88,127.0.0.1:30041",109.1287183764248,134.75.253.186,128.112.49.68
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",141.19949986107252,200.129.206.243,129.132.230.98
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.1.1:30041",129.51430953042512,200.129.206.243,62.40.110.132
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.2.1:30041",142.58627396499028,200.129.206.243,62.40.110.140
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.3.1:30041",134.3073075854404,200.129.206.243,62.40.110.148
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-225,127.0.0.1:30041",236.59738816337872,200.129.206.243,ccc
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",310.5696026674076,200.129.206.243,137.132.22.29
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",384.1083634342873,200.129.206.243,134.75.254.214
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",308.82217282578495,200.129.206.243,134.75.254.68
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",141.2900805779383,200.129.206.243,134.75.253.186
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",229.86829674909697,200.129.206.243,134.75.254.171
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:48,127.0.0.1:30041",236.91136426785215,200.129.206.243,145.40.89.243
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",174.68852459016392,200.129.206.243,141.44.25.151
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-88,127.0.0.1:30041",238.04112253403724,200.129.206.243,128.112.49.68
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","64-2:0:9,129.132.230.98:30041",128.5404728789986,10.230.53.144,129.132.230.98
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-20965,10.0.1.1:30041",128.0019471488178,10.230.53.144,62.40.110.132
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-20965,10.0.2.1:30041",111.7287899860918,10.230.53.144,62.40.110.140
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-20965,10.0.3.1:30041",120.00890125173852,10.230.53.144,62.40.110.148
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:18,192.168.1.1:30041",297.6642559109875,10.230.53.144,137.132.22.29
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:3b,10.1.0.1:30041",170.80611961057025,10.230.53.144,134.75.254.214
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:3d,10.0.0.1:30041",295.8431154381085,10.230.53.144,134.75.254.68
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:3e,10.10.0.1:30041",105.02336578581364,10.230.53.144,134.75.253.186
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:3f,10.10.0.1:30041",16.325730180806676,10.230.53.144,134.75.254.171
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:48,127.0.0.1:30041",232.3304589707928,10.230.53.144,145.40.89.243
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:4a,141.44.25.151:30041",110.64367176634214,10.230.53.144,141.44.25.151
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-2:0:5c,127.0.0.1:30041",253.779632721202,10.230.53.144,200.129.206.243
2025-01-20 01:00:00+00:00,"71-225,10.230.53.144:0","71-88,127.0.0.1:30041",37.02141863699583,10.230.53.144,128.112.49.68
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","64-2:0:9,129.132.230.98:30041",191.66082359488036,10.0.0.1,129.132.230.98
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041",179.70589872008904,10.0.0.1,62.40.110.132
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.2.1:30041",184.2170283806344,10.0.0.1,62.40.110.140
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.3.1:30041",187.66611018363935,10.0.0.1,62.40.110.148
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-225,127.0.0.1:30041",300.67049593723726,10.0.0.1,ccc
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:18,192.168.1.1:30041",2.0280867630700774,10.0.0.1,137.132.22.29
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3b,10.1.0.1:30041",433.3088480801336,10.0.0.1,134.75.254.214
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3e,10.10.0.1:30041",191.0692821368948,10.0.0.1,134.75.253.186
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3f,10.10.0.1:30041",279.05676126878126,10.0.0.1,134.75.254.171
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:48,127.0.0.1:30041",337.99720201454954,10.0.0.1,145.40.89.243
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:4a,141.44.25.151:30041",216.1905954368392,10.0.0.1,141.44.25.151
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:5c,127.0.0.1:30041",321.45239420935405,10.0.0.1,200.129.206.243
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-88,127.0.0.1:30041",304.4415802745867,10.0.0.1,128.112.49.68
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","64-2:0:9,129.132.230.98:30041",19.77079276773296,134.75.253.186,129.132.230.98
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.1.1:30041",12.225034770514604,134.75.253.186,62.40.110.132
2025-01-20 01:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.2.1:30041",7.302642559109875,134.75.253.186,62.40.110.140
