"hour","avg_rtt","success_ratio","prcount","src_scion_addr"
"2025-01-20 08:00:00+00","220.9867821014375333","1.00000000000000000000","43199","71-2:0:5c,127.0.0.1:0"
"2025-01-20 09:00:00+00","122.5257002991569214","1.00000000000000000000","3677","71-20965,10.0.1.1:0"
"2025-01-20 09:00:00+00","118.2593586303820110","1.00000000000000000000","7827","71-20965,10.0.2.1:0"
"2025-01-20 09:00:00+00","122.4097588023288051","1.00000000000000000000","3607","71-20965,10.0.3.1:0"
"2025-01-20 09:00:00+00","154.5429248075784488","1.00000000000000000000","5067","71-225,10.230.53.144:0"
"2025-01-20 09:00:00+00","295.9539035438316014","1.00000000000000000000","7506","71-2:0:3b,10.1.0.1:0"
"2025-01-20 09:00:00+00","236.0644668499847235","1.00000000000000000000","3273","71-2:0:3d,10.0.0.1:0"
"2025-01-20 09:00:00+00","101.7940739167374681","1.00000000000000000000","9416","71-2:0:3e,10.10.0.1:0"
"2025-01-20 09:00:00+00","154.8260586319218241","1.00000000000000000000","3070","71-2:0:3f,10.10.0.1:0"
"2025-01-20 09:00:00+00","232.3816143981032439","1.00000000000000000000","9279","71-2:0:48,127.0.0.1:0"
"2025-01-20 09:00:00+00","121.0029895366218236","1.00000000000000000000","9366","71-2:0:4a,141.44.25.151:0"
"2025-01-20 09:00:00+00","220.9551186440677966","1.00000000000000000000","7375","71-2:0:5c,127.0.0.1:0"
"2025-01-20 10:00:00+00","4.0000000000000000","1.00000000000000000000","1","71-20965,10.0.3.1:0"
"2025-01-20 10:00:00+00","2.0000000000000000","1.00000000000000000000","2","71-2:0:3d,10.0.0.1:0"
"2025-01-20 11:00:00+00","115.1893737891176567","1.00000000000000000000","30453","71-20965,10.0.1.1:0"
"2025-01-20 11:00:00+00","111.8535479632063075","1.00000000000000000000","30440","71-20965,10.0.2.1:0"
"2025-01-20 11:00:00+00","115.2193110647181628","1.00000000000000000000","9580","71-20965,10.0.3.1:0"
"2025-01-20 11:00:00+00","156.7784136748688987","1.00000000000000000000","39664","71-225,10.230.53.144:0"
"2025-01-20 11:00:00+00","292.9503883385862224","1.00000000000000000000","71072","71-2:0:3b,10.1.0.1:0"
"2025-01-20 11:00:00+00","230.0254973702263892","1.00000000000000000000","34984","71-2:0:3d,10.0.0.1:0"
"2025-01-20 11:00:00+00","97.6428328322650179","1.00000000000000000000","35258","71-2:0:3e,10.10.0.1:0"
"2025-01-20 11:00:00+00","150.2706284113131549","1.00000000000000000000","34261","71-2:0:3f,10.10.0.1:0"
"2025-01-20 11:00:00+00","183.2569385462615414","1.00000000000000000000","36499","71-2:0:48,127.0.0.1:0"
"2025-01-20 11:00:00+00","121.4610562565578843","1.00000000000000000000","37169","71-2:0:4a,141.44.25.151:0"
"2025-01-20 11:00:00+00","214.2516571108935813","1.00000000000000000000","35755","71-2:0:5c,127.0.0.1:0"
"2025-01-20 12:00:00+00","114.4296792484295959","1.00000000000000000000","35978","71-20965,10.0.1.1:0"
"2025-01-20 12:00:00+00","111.2365956027461990","1.00000000000000000000","35977","71-20965,10.0.2.1:0"
"2025-01-20 12:00:00+00","155.2262747116085595","1.00000000000000000000","46638","71-225,10.230.53.144:0"
"2025-01-20 12:00:00+00","292.1257503070754826","1.00000000000000000000","86298","71-2:0:3b,10.1.0.1:0"
"2025-01-20 12:00:00+00","227.1018944142638250","1.00000000000000000000","43074","71-2:0:3d,10.0.0.1:0"
"2025-01-20 12:00:00+00","96.5570136795733828","1.00000000000000000000","43130","71-2:0:3e,10.10.0.1:0"
"2025-01-20 12:00:00+00","149.4995131225076509","1.00000000000000000000","43132","71-2:0:3f,10.10.0.1:0"
"2025-01-20 12:00:00+00","180.7640902144213402","1.00000000000000000000","43186","71-2:0:48,127.0.0.1:0"
"2025-01-20 12:00:00+00","120.3678445720637273","1.00000000000000000000","43184","71-2:0:4a,141.44.25.151:0"
"2025-01-20 12:00:00+00","212.3293967812897997","1.00000000000000000000","43185","71-2:0:5c,127.0.0.1:0"
"2025-01-20 13:00:00+00","113.3973888888888889","1.00000000000000000000","36000","71-20965,10.0.1.1:0"
"2025-01-20 13:00:00+00","110.2989771833202203","1.00000000000000000000","12710","71-20965,10.0.2.1:0"
"2025-01-20 13:00:00+00","154.1699608966003547","1.00000000000000000000","46799","71-225,10.230.53.144:0"
"2025-01-20 13:00:00+00","291.4311071974787969","1.00000000000000000000","86308","71-2:0:3b,10.1.0.1:0"
"2025-01-20 13:00:00+00","222.9230555555555556","1.00000000000000000000","43200","71-2:0:3d,10.0.0.1:0"
"2025-01-20 13:00:00+00","95.7611750271997037","1.00000000000000000000","43199","71-2:0:3e,10.10.0.1:0"
"2025-01-20 13:00:00+00","148.4592030800630856","1.00000000000000000000","43116","71-2:0:3f,10.10.0.1:0"
"2025-01-20 13:00:00+00","179.8284490740740741","1.00000000000000000000","43200","71-2:0:48,127.0.0.1:0"
"2025-01-20 13:00:00+00","119.5808029298595336","1.00000000000000000000","43142","71-2:0:4a,141.44.25.151:0"
"2025-01-20 13:00:00+00","211.6020613781123335","1.00000000000000000000","43175","71-2:0:5c,127.0.0.1:0"
"2025-01-20 14:00:00+00","113.5056682411781050","1.00000000000000000000","35990","71-20965,10.0.1.1:0"
"2025-01-20 14:00:00+00","154.1846153846153846","1.00000000000000000000","46800","71-225,10.230.53.144:0"
"2025-01-20 14:00:00+00","291.3202430934100346","1.00000000000000000000","86222","71-2:0:3b,10.1.0.1:0"
"2025-01-20 14:00:00+00","222.6164828033744322","1.00000000000000000000","43148","71-2:0:3d,10.0.0.1:0"
"2025-01-20 14:00:00+00","95.7781894814849123","1.00000000000000000000","43181","71-2:0:3e,10.10.0.1:0"
"2025-01-20 14:00:00+00","148.5028616446926339","1.00000000000000000000","43157","71-2:0:3f,10.10.0.1:0"
"2025-01-20 14:00:00+00","179.7984953703703704","1.00000000000000000000","43200","71-2:0:48,127.0.0.1:0"
"2025-01-20 14:00:00+00","119.5787731481481481","1.00000000000000000000","43200","71-2:0:4a,141.44.25.151:0"
"2025-01-20 14:00:00+00","211.1361605592722054","1.00000000000000000000","43199","71-2:0:5c,127.0.0.1:0"
"2025-01-20 15:00:00+00","113.8257750590852217","1.00000000000000000000","35965","71-20965,10.0.1.1:0"
"2025-01-20 15:00:00+00","154.6723330553595484","1.00000000000000000000","46767","71-225,10.230.53.144:0"
"2025-01-20 15:00:00+00","291.4638972003803957","1.00000000000000000000","86226","71-2:0:3b,10.1.0.1:0"
"2025-01-20 15:00:00+00","222.6300377323549156","1.00000000000000000000","43199","71-2:0:3d,10.0.0.1:0"
"2025-01-20 15:00:00+00","95.8661342592592593","1.00000000000000000000","43200","71-2:0:3e,10.10.0.1:0"
"2025-01-20 15:00:00+00","148.4762367982212340","1.00000000000000000000","43176","71-2:0:3f,10.10.0.1:0"
"2025-01-20 15:00:00+00","180.8813103192279139","1.00000000000000000000","43104","71-2:0:48,127.0.0.1:0"
"2025-01-20 15:00:00+00","119.5849672446121438","1.00000000000000000000","43199","71-2:0:4a,141.44.25.151:0"
"2025-01-20 15:00:00+00","211.3948453130789181","1.00000000000000000000","43184","71-2:0:5c,127.0.0.1:0"
"2025-01-20 16:00:00+00","121.9070998662505573","1.00000000000000000000","35888","71-20965,10.0.1.1:0"
"2025-01-20 16:00:00+00","116.5801119354418847","1.00000000000000000000","15366","71-20965,10.0.2.1:0"
"2025-01-20 16:00:00+00","120.8631953428201811","1.00000000000000000000","15460","71-20965,10.0.3.1:0"
"2025-01-20 16:00:00+00","155.9240596320392951","1.00000000000000000000","46418","71-225,10.230.53.144:0"
"2025-01-20 16:00:00+00","294.6676721618145680","1.00000000000000000000","85530","71-2:0:3b,10.1.0.1:0"
"2025-01-20 16:00:00+00","229.0461989676208353","1.00000000000000000000","42620","71-2:0:3d,10.0.0.1:0"
"2025-01-20 16:00:00+00","100.3811437331598997","1.00000000000000000000","43052","71-2:0:3e,10.10.0.1:0"
"2025-01-20 16:00:00+00","153.1162706066450744","1.00000000000000000000","27479","71-2:0:3f,10.10.0.1:0"
"2025-01-20 16:00:00+00","232.2772445604062806","1.00000000000000000000","42926","71-2:0:48,127.0.0.1:0"
"2025-01-20 16:00:00+00","119.5074214303965065","1.00000000000000000000","43051","71-2:0:4a,141.44.25.151:0"
"2025-01-20 16:00:00+00","220.8827460934770965","1.00000000000000000000","42941","71-2:0:5c,127.0.0.1:0"
"2025-01-20 17:00:00+00","120.8473624288425047","1.00000000000000000000","13175","71-20965,10.0.1.1:0"
"2025-01-20 17:00:00+00","116.6522803795531068","1.00000000000000000000","35937","71-20965,10.0.2.1:0"
"2025-01-20 17:00:00+00","120.9098788754306034","1.00000000000000000000","35996","71-20965,10.0.3.1:0"
"2025-01-20 17:00:00+00","153.4233818407162852","1.00000000000000000000","46797","71-225,10.230.53.144:0"
"2025-01-20 17:00:00+00","228.6128710575139147","1.00000000000000000000","43120","71-2:0:3d,10.0.0.1:0"
"2025-01-20 17:00:00+00","100.4868393638447114","1.00000000000000000000","43197","71-2:0:3e,10.10.0.1:0"
"2025-01-20 17:00:00+00","231.1683026206130197","1.00000000000000000000","43196","71-2:0:48,127.0.0.1:0"
"2025-01-20 17:00:00+00","119.5444274667777932","1.00000000000000000000","43194","71-2:0:4a,141.44.25.151:0"
"2025-01-20 17:00:00+00","219.6642879696874013","1.00000000000000000000","15835","71-2:0:5c,127.0.0.1:0"
"2025-01-20 18:00:00+00","116.8797899241392725","1.00000000000000000000","35987","71-20965,10.0.2.1:0"
"2025-01-20 18:00:00+00","120.7925687130033627","1.00000000000000000000","35983","71-20965,10.0.3.1:0"
"2025-01-20 18:00:00+00","153.7057502246181491","1.00000000000000000000","46746","71-225,10.230.53.144:0"
"2025-01-20 18:00:00+00","228.6364709968739146","1.00000000000000000000","43185","71-2:0:3d,10.0.0.1:0"
"2025-01-20 18:00:00+00","100.4275000000000000","1.00000000000000000000","43200","71-2:0:3e,10.10.0.1:0"
"2025-01-20 18:00:00+00","231.1820225239838717","1.00000000000000000000","43154","71-2:0:48,127.0.0.1:0"
"2025-01-20 18:00:00+00","119.5105210768767796","1.00000000000000000000","43199","71-2:0:4a,141.44.25.151:0"
"2025-01-20 19:00:00+00","116.8361525428436519","1.00000000000000000000","36003","71-20965,10.0.2.1:0"
"2025-01-20 19:00:00+00","120.8253333333333333","1.00000000000000000000","36000","71-20965,10.0.3.1:0"
"2025-01-20 19:00:00+00","153.3696107784431138","1.00000000000000000000","46760","71-225,10.230.53.144:0"
"2025-01-20 19:00:00+00","228.8789583333333333","1.00000000000000000000","43200","71-2:0:3d,10.0.0.1:0"
"2025-01-20 19:00:00+00","100.4122878117690651","1.00000000000000000000","43181","71-2:0:3e,10.10.0.1:0"
"2025-01-20 19:00:00+00","231.1834259259259259","1.00000000000000000000","43200","71-2:0:48,127.0.0.1:0"
"2025-01-20 19:00:00+00","119.4188081936685289","1.00000000000000000000","5370","71-2:0:4a,141.44.25.151:0"
"2025-01-20 20:00:00+00","116.5968163855958145","1.00000000000000000000","35934","71-20965,10.0.2.1:0"
"2025-01-20 20:00:00+00","120.7606714095153402","1.00000000000000000000","35984","71-20965,10.0.3.1:0"
"2025-01-20 20:00:00+00","153.3092724008207934","1.00000000000000000000","46784","71-225,10.230.53.144:0"
"2025-01-20 20:00:00+00","228.8078312416060760","1.00000000000000000000","43186","71-2:0:3d,10.0.0.1:0"
"2025-01-20 20:00:00+00","100.3587817450339452","1.00000000000000000000","31816","71-2:0:3e,10.10.0.1:0"
"2025-01-20 20:00:00+00","231.4856891441274546","1.00000000000000000000","43184","71-2:0:48,127.0.0.1:0"
"2025-01-20 21:00:00+00","116.7562364575809767","1.00000000000000000000","35998","71-20965,10.0.2.1:0"
"2025-01-20 21:00:00+00","120.8207452725250278","1.00000000000000000000","35960","71-20965,10.0.3.1:0"
"2025-01-20 21:00:00+00","153.2930276036511602","1.00000000000000000000","18186","71-225,10.230.53.144:0"
"2025-01-20 21:00:00+00","228.9967500058035611","1.00000000000000000000","43077","71-2:0:3d,10.0.0.1:0"
"2025-01-20 21:00:00+00","231.3399634149165258","1.00000000000000000000","43187","71-2:0:48,127.0.0.1:0"
"2025-01-20 22:00:00+00","116.7329016480004447","1.00000000000000000000","35983","71-20965,10.0.2.1:0"
"2025-01-20 22:00:00+00","120.8792188671907553","1.00000000000000000000","35999","71-20965,10.0.3.1:0"
"2025-01-20 22:00:00+00","228.8895819324321191","1.00000000000000000000","43127","71-2:0:3d,10.0.0.1:0"
"2025-01-20 22:00:00+00","231.3731191258854577","1.00000000000000000000","43198","71-2:0:48,127.0.0.1:0"
"2025-01-20 23:00:00+00","117.0529874213836478","1.00000000000000000000","19080","71-20965,10.0.2.1:0"
"2025-01-20 23:00:00+00","120.8266359302142820","1.00000000000000000000","19087","71-20965,10.0.3.1:0"
"2025-01-20 23:00:00+00","228.7195553561637007","1.00000000000000000000","40122","71-2:0:3d,10.0.0.1:0"
"2025-01-20 23:00:00+00","231.3944934112924339","1.00000000000000000000","22918","71-2:0:48,127.0.0.1:0"
"2025-01-21 00:00:00+00","228.5833170158605835","1.00000000000000000000","15321","71-2:0:3d,10.0.0.1:0"
"2025-01-21 08:00:00+00","121.0037465601273167","1.00000000000000000000","30161","71-20965,10.0.1.1:0"
"2025-01-21 08:00:00+00","116.7440252814536836","1.00000000000000000000","30378","71-20965,10.0.2.1:0"
"2025-01-21 08:00:00+00","120.5951424998354505","1.00000000000000000000","30386","71-20965,10.0.3.1:0"
"2025-01-21 08:00:00+00","153.6188931684573282","1.00000000000000000000","39464","71-225,10.230.53.144:0"
"2025-01-21 08:00:00+00","294.5306388526727510","1.00000000000000000000","16107","71-2:0:3b,10.1.0.1:0"
"2025-01-21 08:00:00+00","228.5438674454037583","1.00000000000000000000","15752","71-2:0:3d,10.0.0.1:0"
"2025-01-21 08:00:00+00","100.3252037697401936","1.00000000000000000000","15704","71-2:0:3e,10.10.0.1:0"
"2025-01-21 08:00:00+00","153.0490480800258148","1.00000000000000000000","15495","71-2:0:3f,10.10.0.1:0"
"2025-01-21 08:00:00+00","231.0331307910148195","1.00000000000000000000","36371","71-2:0:48,127.0.0.1:0"
"2025-01-21 08:00:00+00","119.5530649336344110","1.00000000000000000000","36314","71-2:0:4a,141.44.25.151:0"
"2025-01-21 08:00:00+00","219.8129686810763123","1.00000000000000000000","36272","71-2:0:5c,127.0.0.1:0"
"2025-01-21 09:00:00+00","121.9419911575134502","1.00000000000000000000","18773","71-20965,10.0.1.1:0"
"2025-01-21 09:00:00+00","118.8150530408486536","1.00000000000000000000","20833","71-20965,10.0.2.1:0"
"2025-01-21 09:00:00+00","120.4031333196805243","1.00000000000000000000","19532","71-20965,10.0.3.1:0"
"2025-01-21 09:00:00+00","146.4184847047664216","1.00000000000000000000","16868","71-225,10.230.53.144:0"
"2025-01-21 09:00:00+00","278.9230977892309779","1.00000000000000000000","22119","71-2:0:3b,10.1.0.1:0"
"2025-01-21 09:00:00+00","234.3983912412021003","1.00000000000000000000","26853","71-2:0:3d,10.0.0.1:0"
"2025-01-21 09:00:00+00","101.3543882165994377","1.00000000000000000000","32724","71-2:0:3e,10.10.0.1:0"
"2025-01-21 09:00:00+00","149.7781679661924885","1.00000000000000000000","16801","71-2:0:3f,10.10.0.1:0"
"2025-01-21 09:00:00+00","224.7524762853099942","1.00000000000000000000","19081","71-2:0:48,127.0.0.1:0"
"2025-01-21 09:00:00+00","130.3421709753231492","1.00000000000000000000","27232","71-2:0:4a,141.44.25.151:0"
"2025-01-21 09:00:00+00","241.5417929199615697","1.00000000000000000000","13531","71-2:0:5c,127.0.0.1:0"
"2025-01-21 10:00:00+00","117.0350173079817388","1.00000000000000000000","19933","71-20965,10.0.1.1:0"
"2025-01-21 10:00:00+00","113.1133110568051469","1.00000000000000000000","20051","71-20965,10.0.2.1:0"
"2025-01-21 10:00:00+00","121.3913389632915352","1.00000000000000000000","35169","71-20965,10.0.3.1:0"
"2025-01-21 10:00:00+00","144.0116135662898253","1.00000000000000000000","19460","71-225,10.230.53.144:0"
"2025-01-21 10:00:00+00","280.3248791168688988","1.00000000000000000000","21922","71-2:0:3b,10.1.0.1:0"
"2025-01-21 10:00:00+00","249.2367330435661579","1.00000000000000000000","19786","71-2:0:3d,10.0.0.1:0"
"2025-01-21 10:00:00+00","92.8729091919753398","1.00000000000000000000","39578","71-2:0:3e,10.10.0.1:0"
"2025-01-21 10:00:00+00","235.9726038150561269","1.00000000000000000000","38217","71-2:0:48,127.0.0.1:0"
"2025-01-21 10:00:00+00","124.6465587706392022","1.00000000000000000000","18351","71-2:0:4a,141.44.25.151:0"
"2025-01-21 10:00:00+00","219.2984617011153988","1.00000000000000000000","37834","71-2:0:5c,127.0.0.1:0"
"2025-01-21 11:00:00+00","114.1108117531459000","1.00000000000000000000","31549","71-20965,10.0.1.1:0"
"2025-01-21 11:00:00+00","116.8237225871089836","1.00000000000000000000","35932","71-20965,10.0.2.1:0"
"2025-01-21 11:00:00+00","121.2791285742073527","1.00000000000000000000","35987","71-20965,10.0.3.1:0"
"2025-01-21 11:00:00+00","154.5428504193051515","1.00000000000000000000","46744","71-225,10.230.53.144:0"
"2025-01-21 11:00:00+00","282.8007883565797453","1.00000000000000000000","19788","71-2:0:3b,10.1.0.1:0"
"2025-01-21 11:00:00+00","249.7444820445477044","1.00000000000000000000","19799","71-2:0:3d,10.0.0.1:0"
"2025-01-21 11:00:00+00","94.2973714116310094","1.00000000000000000000","40478","71-2:0:3e,10.10.0.1:0"
"2025-01-21 11:00:00+00","195.2262279888785913","1.00000000000000000000","43160","71-2:0:48,127.0.0.1:0"
"2025-01-21 11:00:00+00","120.1245512033541034","1.00000000000000000000","43171","71-2:0:4a,141.44.25.151:0"
"2025-01-21 11:00:00+00","223.9693555864626796","1.00000000000000000000","43140","71-2:0:5c,127.0.0.1:0"
"2025-01-21 12:00:00+00","113.4627164336733276","1.00000000000000000000","35981","71-20965,10.0.1.1:0"
"2025-01-21 12:00:00+00","111.1398187378994921","1.00000000000000000000","35639","71-20965,10.0.2.1:0"
"2025-01-21 12:00:00+00","121.0480226773754273","1.00000000000000000000","35983","71-20965,10.0.3.1:0"
"2025-01-21 12:00:00+00","155.1080861438439659","1.00000000000000000000","46759","71-225,10.230.53.144:0"
"2025-01-21 12:00:00+00","289.0188015363541135","1.00000000000000000000","37231","71-2:0:3b,10.1.0.1:0"
"2025-01-21 12:00:00+00","226.5691152815013405","1.00000000000000000000","37300","71-2:0:3d,10.0.0.1:0"
"2025-01-21 12:00:00+00","97.5722061378112334","1.00000000000000000000","43175","71-2:0:3e,10.10.0.1:0"
"2025-01-21 12:00:00+00","148.8430483525356355","1.00000000000000000000","32201","71-2:0:3f,10.10.0.1:0"
"2025-01-21 12:00:00+00","180.4620107977848321","1.00000000000000000000","43157","71-2:0:48,127.0.0.1:0"
"2025-01-21 12:00:00+00","119.8603154018942639","1.00000000000000000000","43183","71-2:0:4a,141.44.25.151:0"
"2025-01-21 12:00:00+00","215.0124655344192405","1.00000000000000000000","43159","71-2:0:5c,127.0.0.1:0"
"2025-01-21 13:00:00+00","114.0406800411808898","1.00000000000000000000","35939","71-20965,10.0.1.1:0"
"2025-01-21 13:00:00+00","111.1742960691385559","1.00000000000000000000","35870","71-20965,10.0.2.1:0"
"2025-01-21 13:00:00+00","118.2205598455598456","1.00000000000000000000","33152","71-20965,10.0.3.1:0"
"2025-01-21 13:00:00+00","157.1727298394978607","1.00000000000000000000","46043","71-225,10.230.53.144:0"
"2025-01-21 13:00:00+00","290.6407152299450358","1.00000000000000000000","43119","71-2:0:3b,10.1.0.1:0"
"2025-01-21 13:00:00+00","223.5003358891797355","1.00000000000000000000","43169","71-2:0:3d,10.0.0.1:0"
"2025-01-21 13:00:00+00","98.1061991987587708","1.00000000000000000000","43183","71-2:0:3e,10.10.0.1:0"
"2025-01-21 13:00:00+00","149.2315005913317719","1.00000000000000000000","43123","71-2:0:3f,10.10.0.1:0"
"2025-01-21 13:00:00+00","181.6335210675141969","1.00000000000000000000","42791","71-2:0:48,127.0.0.1:0"
"2025-01-21 13:00:00+00","123.1371697850410883","1.00000000000000000000","43078","71-2:0:4a,141.44.25.151:0"
"2025-01-21 13:00:00+00","219.9556413177411480","1.00000000000000000000","43013","71-2:0:5c,127.0.0.1:0"
"2025-01-21 14:00:00+00","114.0001950240994066","1.00000000000000000000","35893","71-20965,10.0.1.1:0"
"2025-01-21 14:00:00+00","110.8791466547525969","1.00000000000000000000","35812","71-20965,10.0.2.1:0"
"2025-01-21 14:00:00+00","117.0877556703901971","1.00000000000000000000","32317","71-20965,10.0.3.1:0"
"2025-01-21 14:00:00+00","156.5408900888346978","1.00000000000000000000","45928","71-225,10.230.53.144:0"
