"hour","avg_rtt","prcount","src_addr"
"2025-01-20 11:00:00+00","212.3690768359448745","5297","200.129.206.243"
"2025-01-20 12:00:00+00","379.8846854378788331","33491","10.0.0.1"
"2025-01-20 12:00:00+00","233.8897239414480794","40716","10.1.0.1"
"2025-01-20 12:00:00+00","151.0868103288129296","53830","10.230.53.144"
"2025-01-20 12:00:00+00","178.1003431327088936","10783","134.75.253.186"
"2025-01-20 12:00:00+00","169.2006613189639336","16331","134.75.254.171"
"2025-01-20 12:00:00+00","122.5974941113596326","50521","141.44.25.151"
"2025-01-20 13:00:00+00","380.3968932287771629","46801","10.0.0.1"
"2025-01-20 13:00:00+00","233.9707897416905842","43204","10.1.0.1"
"2025-01-20 13:00:00+00","151.1157265083891996","53998","10.230.53.144"
"2025-01-20 13:00:00+00","178.2502835976386156","43195","134.75.253.186"
"2025-01-20 13:00:00+00","169.2503718393653941","42357","134.75.254.171"
"2025-01-20 13:00:00+00","122.1518225439851839","23758","141.44.25.151"
"2025-01-20 13:00:00+00","212.4133409350057013","26310","200.129.206.243"
"2025-01-20 14:00:00+00","380.4159770718120534","24773","10.0.0.1"
"2025-01-20 14:00:00+00","233.9454060943112038","43155","10.1.0.1"
"2025-01-20 14:00:00+00","151.0922609677956999","53999","10.230.53.144"
"2025-01-20 14:00:00+00","178.2338827946266205","17047","134.75.253.186"
"2025-01-20 14:00:00+00","169.1595828564161262","39315","134.75.254.171"
"2025-01-20 15:00:00+00","100.1046511627906977","86","10.0.1.1"
"2025-01-20 15:00:00+00","237.6651379334306164","43173","10.1.0.1"
"2025-01-20 15:00:00+00","154.0828576723498888","53960","10.230.53.144"
"2025-01-20 15:00:00+00","172.8686436760355030","43264","134.75.254.171"
"2025-01-20 15:00:00+00","205.0632037993966367","33479","145.40.89.243"
"2025-01-20 16:00:00+00","380.0395804542716417","28221","10.0.0.1"
"2025-01-20 16:00:00+00","104.9802816901408451","355","10.0.1.1"
"2025-01-20 16:00:00+00","104.9117647058823529","68","10.0.2.1"
"2025-01-20 16:00:00+00","105.1862068965517241","145","10.0.3.1"
"2025-01-20 16:00:00+00","238.4351367752777518","42844","10.1.0.1"
"2025-01-20 16:00:00+00","154.7949636261891438","53610","10.230.53.144"
"2025-01-20 16:00:00+00","182.7494450972711842","38295","134.75.253.186"
"2025-01-20 16:00:00+00","173.8760333561965272","27701","134.75.254.171"
"2025-01-20 16:00:00+00","122.1407522295463358","12895","141.44.25.151"
"2025-01-20 16:00:00+00","205.5838564755585969","33611","145.40.89.243"
"2025-01-20 16:00:00+00","244.5922546767312110","15235","200.129.206.243"
"2025-01-20 17:00:00+00","380.3068206115031003","46770","10.0.0.1"
"2025-01-20 17:00:00+00","99.9188034188034188","234","10.0.2.1"
"2025-01-20 17:00:00+00","154.7522409465758336","2789","10.230.53.144"
"2025-01-20 17:00:00+00","182.8206143091914913","43203","134.75.253.186"
"2025-01-20 18:00:00+00","379.9356611358193637","46768","10.0.0.1"
"2025-01-20 18:00:00+00","97.3066666666666667","75","10.0.3.1"
"2025-01-20 18:00:00+00","154.8449190539754253","29217","10.230.53.144"
"2025-01-20 18:00:00+00","182.8276851851851852","43200","134.75.253.186"
"2025-01-20 18:00:00+00","205.3265242958836274","9693","145.40.89.243"
"2025-01-20 19:00:00+00","379.9022932592077832","14390","10.0.0.1"
"2025-01-20 19:00:00+00","154.2038269705004357","53933","10.230.53.144"
"2025-01-20 19:00:00+00","181.7932393079426712","35026","134.75.253.186"
"2025-01-20 19:00:00+00","204.5180636983045476","50488","145.40.89.243"
"2025-01-20 20:00:00+00","103.9293785310734463","354","10.0.2.1"
"2025-01-20 20:00:00+00","153.5648703703703704","54000","10.230.53.144"
"2025-01-20 20:00:00+00","181.2406418791609094","31844","134.75.253.186"
"2025-01-20 20:00:00+00","205.1051248357424442","761","145.40.89.243"
"2025-01-20 21:00:00+00","91.4375000000000000","16","10.0.3.1"
"2025-01-20 21:00:00+00","153.5386996904024768","20995","10.230.53.144"
"2025-01-20 23:00:00+00","96.5810810810810811","74","10.0.2.1"
"2025-01-21 00:00:00+00","379.9156718702173248","6534","10.0.0.1"
"2025-01-21 08:00:00+00","380.3572140470188193","17057","10.0.0.1"
"2025-01-21 08:00:00+00","102.6017110266159696","1052","10.0.1.1"
"2025-01-21 08:00:00+00","94.0439560439560440","91","10.0.2.1"
"2025-01-21 08:00:00+00","96.2169811320754717","106","10.0.3.1"
"2025-01-21 08:00:00+00","234.9801175656984786","11568","10.1.0.1"
"2025-01-21 08:00:00+00","151.8556932986279614","45334","10.230.53.144"
"2025-01-21 08:00:00+00","179.0660383366235751","15703","134.75.253.186"
"2025-01-21 08:00:00+00","170.0841488539788823","15532","134.75.254.171"
"2025-01-21 08:00:00+00","122.2076265436287149","22107","141.44.25.151"
"2025-01-21 08:00:00+00","201.9079215775158658","17648","145.40.89.243"
"2025-01-21 08:00:00+00","219.5921043305691403","14109","200.129.206.243"
"2025-01-21 09:00:00+00","378.0789831166310887","10306","10.0.0.1"
"2025-01-21 09:00:00+00","234.0145814781834372","8984","10.1.0.1"
"2025-01-21 09:00:00+00","154.5001435544071203","20898","10.230.53.144"
"2025-01-21 09:00:00+00","185.1336140670346554","17573","134.75.253.186"
"2025-01-21 09:00:00+00","184.1270827992822353","15604","134.75.254.171"
"2025-01-21 09:00:00+00","122.3766760890048561","13797","141.44.25.151"
"2025-01-21 09:00:00+00","209.4746215062111801","20608","145.40.89.243"
"2025-01-21 09:00:00+00","253.6658456486042693","4872","200.129.206.243"
"2025-01-21 10:00:00+00","100.3720930232558140","43","10.0.1.1"
"2025-01-21 10:00:00+00","113.4814814814814815","81","10.0.2.1"
"2025-01-21 10:00:00+00","100.3587786259541985","131","10.0.3.1"
"2025-01-21 10:00:00+00","234.5335267019279986","5861","10.1.0.1"
"2025-01-21 10:00:00+00","151.7991469561845677","5158","10.230.53.144"
"2025-01-21 10:00:00+00","179.0464503042596349","4930","134.75.253.186"
"2025-01-21 10:00:00+00","122.3792775133015962","17855","141.44.25.151"
"2025-01-21 10:00:00+00","202.1500198176773682","35322","145.40.89.243"
"2025-01-21 10:00:00+00","220.3128410809389177","30418","200.129.206.243"
"2025-01-21 11:00:00+00","102.5535714285714286","56","10.0.1.1"
"2025-01-21 11:00:00+00","95.1885245901639344","122","10.0.2.1"
"2025-01-21 11:00:00+00","150.7852889667250438","5710","10.230.53.144"
"2025-01-21 11:00:00+00","178.4202898550724638","10833","134.75.253.186"
"2025-01-21 11:00:00+00","122.1844473342002601","19225","141.44.25.151"
"2025-01-21 11:00:00+00","201.0752370373309001","50414","145.40.89.243"
"2025-01-21 11:00:00+00","220.3580141657922350","15248","200.129.206.243"
"2025-01-21 12:00:00+00","380.3976452490829488","33804","10.0.0.1"
"2025-01-21 12:00:00+00","95.4444444444444444","135","10.0.2.1"
"2025-01-21 12:00:00+00","233.9816059207877868","32293","10.1.0.1"
"2025-01-21 12:00:00+00","151.0242604282708256","40395","10.230.53.144"
"2025-01-21 12:00:00+00","178.0438535430878463","14366","134.75.253.186"
"2025-01-21 12:00:00+00","169.2305344149870369","23914","134.75.254.171"
"2025-01-21 12:00:00+00","122.2297769225286865","14031","141.44.25.151"
"2025-01-21 12:00:00+00","198.7049518112329678","15045","145.40.89.243"
"2025-01-21 12:00:00+00","204.8311499272197962","2748","200.129.206.243"
"2025-01-21 13:00:00+00","380.3401721290098235","11503","10.0.0.1"
"2025-01-21 13:00:00+00","112.9369369369369369","111","10.0.1.1"
"2025-01-21 13:00:00+00","234.2451997924234561","38540","10.1.0.1"
"2025-01-21 13:00:00+00","151.1570141329544605","53492","10.230.53.144"
"2025-01-21 13:00:00+00","178.3026083341993141","9623","134.75.253.186"
"2025-01-21 13:00:00+00","169.7212441314553991","25560","134.75.254.171"
"2025-01-21 13:00:00+00","122.2697513043938872","37757","141.44.25.151"
"2025-01-21 13:00:00+00","200.3064442063370580","32665","145.40.89.243"
"2025-01-21 13:00:00+00","226.4182376150811048","2281","200.129.206.243"
"2025-01-21 14:00:00+00","357.7058823529411765","17","10.0.0.1"
"2025-01-21 14:00:00+00","109.3084003574620197","11190","10.0.1.1"
"2025-01-21 14:00:00+00","100.3121019108280255","157","10.0.2.1"
"2025-01-21 14:00:00+00","234.0734754499388433","22892","10.1.0.1"
"2025-01-21 14:00:00+00","151.2276015995536129","53765","10.230.53.144"
"2025-01-21 14:00:00+00","172.3456790123456790","1296","134.75.253.186"
"2025-01-21 14:00:00+00","169.4614363344448561","32388","134.75.254.171"
"2025-01-21 14:00:00+00","122.7925430582014696","25721","141.44.25.151"
"2025-01-21 14:00:00+00","200.7717019414385742","50272","145.40.89.243"
"2025-01-21 14:00:00+00","225.9836956521739130","1472","200.129.206.243"
"2025-01-21 15:00:00+00","380.7425888008546248","22466","10.0.0.1"
"2025-01-21 15:00:00+00","107.6708511941212492","3266","10.0.1.1"
"2025-01-21 15:00:00+00","100.1074766355140187","214","10.0.2.1"
"2025-01-21 15:00:00+00","101.8130434782608696","230","10.0.3.1"
