src_scion_addr,dst_scion_addr,mapped_src_ip,mapped_dst_ip,avg_scion,avg_ip
"71-20965,10.0.1.1:0","64-2:0:9,129.132.230.98:30041",10.0.1.1,129.132.230.98,12.314719611911281,12.030996633096487
"71-20965,10.0.1.1:0","71-2:0:18,192.168.1.1:30041",10.0.1.1,137.132.22.29,176.85217975887224,174.2667490001829
"71-20965,10.0.1.1:0","71-2:0:3b,10.1.0.1:30041",10.0.1.1,134.75.254.214,255.9675195312559,254.49113304233506
"71-20965,10.0.1.1:0","71-2:0:3d,10.0.0.1:30041",10.0.1.1,134.75.254.68,175.10686391051294,338.476379807868
"71-20965,10.0.1.1:0","71-2:0:3e,10.10.0.1:30041",10.0.1.1,134.75.253.186,12.465321212107881,34.23378606947505
"71-20965,10.0.1.1:0","71-2:0:3f,10.10.0.1:30041",10.0.1.1,134.75.254.171,97.01302622949889,99.60151043799034
"71-20965,10.0.1.1:0","71-2:0:48,127.0.0.1:30041",10.0.1.1,145.40.89.243,98.5157069637785,101.63204747676794
"71-20965,10.0.1.1:0","71-2:0:4a,141.44.25.151:30041",10.0.1.1,141.44.25.151,48.805612644224766,36.689819215451614
"71-20965,10.0.1.1:0","71-2:0:5c,127.0.0.1:30041",10.0.1.1,200.129.206.243,130.99251776071955,141.78389659627237
"71-2:0:3d,10.0.0.1:0","64-2:0:9,129.132.230.98:30041",10.0.0.1,129.132.230.98,186.0820134535168,374.5422678328895
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041",10.0.0.1,62.40.110.132,174.22930555126982,366.86086897235907
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.2.1:30041",10.0.0.1,62.40.110.140,179.31809067794237,363.50585283549367
"71-2:0:3d,10.0.0.1:0","71-20965,10.0.3.1:30041",10.0.0.1,62.40.110.148,182.03632102293022,370.52234021282715
"71-2:0:3d,10.0.0.1:0","71-2:0:18,192.168.1.1:30041",10.0.0.1,137.132.22.29,2.0391747935942783,327.3411186089632
"71-2:0:3d,10.0.0.1:0","71-2:0:3b,10.1.0.1:30041",10.0.0.1,134.75.254.214,429.14048771974467,112.02340954733833
"71-2:0:3d,10.0.0.1:0","71-2:0:3e,10.10.0.1:30041",10.0.0.1,134.75.253.186,202.9461677183682,355.13767902226766
"71-2:0:3d,10.0.0.1:0","71-2:0:3f,10.10.0.1:30041",10.0.0.1,134.75.254.171,273.7223482501157,266.00142367165694
"71-2:0:3d,10.0.0.1:0","71-2:0:48,127.0.0.1:30041",10.0.0.1,145.40.89.243,280.6058849760518,320.97671668596166
"71-2:0:3d,10.0.0.1:0","71-2:0:4a,141.44.25.151:30041",10.0.0.1,141.44.25.151,211.41529793222173,380.47111338363743
"71-2:0:3d,10.0.0.1:0","71-2:0:5c,127.0.0.1:30041",10.0.0.1,200.129.206.243,325.50711334250934,416.6641514916698
"71-2:0:3e,10.10.0.1:0","64-2:0:9,129.132.230.98:30041",10.10.0.1,129.132.230.98,25.029831257454205,63.028680460275595
"71-2:0:3e,10.10.0.1:0","71-20965,10.0.1.1:30041",10.10.0.1,62.40.110.132,12.222592084644539,54.998415746546215
"71-2:0:3e,10.10.0.1:0","71-20965,10.0.2.1:30041",10.10.0.1,62.40.110.140,8.85122789715732,51.98600936958465
"71-2:0:3e,10.10.0.1:0","71-20965,10.0.3.1:30041",10.10.0.1,62.40.110.148,16.152265278087604,58.93344621058936
"71-2:0:3e,10.10.0.1:0","71-2:0:18,192.168.1.1:30041",10.10.0.1,137.132.22.29,187.16726898207153,437.09289205954633
"71-2:0:3e,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041",10.10.0.1,134.75.254.214,244.2096783444404,199.30143383401514
"71-2:0:3e,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041",10.10.0.1,134.75.254.68,185.42585279527145,313.315284833242
"71-2:0:3e,10.10.0.1:0","71-2:0:3f,10.10.0.1:30041",10.10.0.1,134.75.254.171,89.95838617300308,84.96388311071821
"71-2:0:3e,10.10.0.1:0","71-2:0:48,127.0.0.1:30041",10.10.0.1,145.40.89.243,108.56401099975648,437.13162521944787
"71-2:0:3e,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041",10.10.0.1,141.44.25.151,42.91792438573142,68.75815069905873
"71-2:0:3e,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041",10.10.0.1,200.129.206.243,143.18479104444327,203.445371587525
"71-2:0:3f,10.10.0.1:0","64-2:0:9,129.132.230.98:30041",10.10.0.1,129.132.230.98,113.04971914816565,66.9972920963944
"71-2:0:3f,10.10.0.1:0","71-20965,10.0.1.1:30041",10.10.0.1,62.40.110.132,104.72172125155025,58.8525199790504
"71-2:0:3f,10.10.0.1:0","71-20965,10.0.2.1:30041",10.10.0.1,62.40.110.140,98.87138401707715,56.038274219333886
"71-2:0:3f,10.10.0.1:0","71-20965,10.0.3.1:30041",10.10.0.1,62.40.110.148,105.47785706528619,62.87137944392136
"71-2:0:3f,10.10.0.1:0","71-2:0:18,192.168.1.1:30041",10.10.0.1,137.132.22.29,283.44074604045534,433.09457427853266
"71-2:0:3f,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041",10.10.0.1,134.75.254.214,154.88483245869617,195.45946179749131
"71-2:0:3f,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041",10.10.0.1,134.75.254.68,281.6653507116042,304.5758934518198
"71-2:0:3f,10.10.0.1:0","71-2:0:3e,10.10.0.1:30041",10.10.0.1,134.75.253.186,91.84904232430848,88.67712709420644
"71-2:0:3f,10.10.0.1:0","71-2:0:48,127.0.0.1:30041",10.10.0.1,145.40.89.243,50.92447182696316,432.232423332263
"71-2:0:3f,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041",10.10.0.1,141.44.25.151,130.83234261742024,72.6830338181071
"71-2:0:3f,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041",10.10.0.1,200.129.206.243,183.98907253980607,199.22428077493706
"71-2:0:48,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",127.0.0.1,129.132.230.98,125.42728056138793,120.11670862404468
"71-2:0:48,127.0.0.1:0","71-20965,10.0.1.1:30041",127.0.0.1,62.40.110.132,97.358408732555,120.97179843545669
"71-2:0:48,127.0.0.1:0","71-20965,10.0.2.1:30041",127.0.0.1,62.40.110.140,102.0883866247296,118.7309315668493
"71-2:0:48,127.0.0.1:0","71-20965,10.0.3.1:30041",127.0.0.1,62.40.110.148,94.6787580582296,118.99193669931198
"71-2:0:48,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",127.0.0.1,137.132.22.29,276.5267715322844,285.1297381587301
"71-2:0:48,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",127.0.0.1,134.75.254.214,216.67978366879348,269.1287169389248
"71-2:0:48,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",127.0.0.1,134.75.254.68,274.76351779263643,368.8849603876129
"71-2:0:48,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",127.0.0.1,134.75.253.186,110.22001311200395,371.9653590890658
"71-2:0:48,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",127.0.0.1,134.75.254.171,64.986739410777,277.7770071968904
"71-2:0:48,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",127.0.0.1,141.44.25.151,129.9840708337752,142.2231033731804
"71-2:0:48,127.0.0.1:0","71-2:0:5c,127.0.0.1:30041",127.0.0.1,200.129.206.243,165.13537939058452,121.33213812937022
"71-2:0:4a,141.44.25.151:0","64-2:0:9,129.132.230.98:30041",141.44.25.151,129.132.230.98,58.06174773629887,44.383477445940095
"71-2:0:4a,141.44.25.151:0","71-20965,10.0.1.1:30041",141.44.25.151,62.40.110.132,48.85191813849788,36.705980955174994
"71-2:0:4a,141.44.25.151:0","71-20965,10.0.2.1:30041",141.44.25.151,62.40.110.140,32.35781812546075,32.177876703806945
"71-2:0:4a,141.44.25.151:0","71-20965,10.0.3.1:30041",141.44.25.151,62.40.110.148,41.23421378433451,40.12983115127571
"71-2:0:4a,141.44.25.151:0","71-2:0:18,192.168.1.1:30041",141.44.25.151,137.132.22.29,213.36137727382635,197.6416725408906
"71-2:0:4a,141.44.25.151:0","71-2:0:3b,10.1.0.1:30041",141.44.25.151,134.75.254.214,295.6660953295755,267.2474028690242
"71-2:0:4a,141.44.25.151:0","71-2:0:3d,10.0.0.1:30041",141.44.25.151,134.75.254.68,211.6233693830979,377.0594225271226
"71-2:0:4a,141.44.25.151:0","71-2:0:3e,10.10.0.1:30041",141.44.25.151,134.75.253.186,41.29477735246015,25.038596334919184
