hour,src_scion_addr,dst_scion_addr,avg,src_ip_addr
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","64-2:0:9,129.132.230.98:30041",191.6575,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041",179.71194444444444,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.2.1:30041",184.03277777777777,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.3.1:30041",187.73972222222224,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-225,127.0.0.1:30041",287.2850767085077,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:18,192.168.1.1:30041",2.0175,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3b,10.1.0.1:30041",433.3327777777778,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3e,10.10.0.1:30041",190.75055555555556,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3f,10.10.0.1:30041",279.02694444444444,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:48,127.0.0.1:30041",291.17215401785717,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:4a,141.44.25.151:30041",215.98361111111112,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:5c,127.0.0.1:30041",321.3161111111111,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-88,127.0.0.1:30041",290.4383714445064,10.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","64-2:0:9,129.132.230.98:30041",19.605116796440488,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.1.1:30041",12.202668890742284,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.2.1:30041",7.2546566583263825,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-20965,10.0.3.1:30041",15.65721434528774,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-225,127.0.0.1:30041",105.06922435362802,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:18,192.168.1.1:30041",192.565749235474,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3b,10.1.0.1:30041",243.00889877641825,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3d,10.0.0.1:30041",190.91103697525716,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:3f,10.10.0.1:30041",88.89491242702253,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:48,127.0.0.1:30041",114.7881567973311,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:4a,141.44.25.151:30041",39.22574367528496,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-2:0:5c,127.0.0.1:30041",141.29079788712815,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:3e,10.10.0.1:0","71-88,127.0.0.1:30041",109.1287183764248,10.10.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",115.11871003614122,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-20965,10.0.1.1:30041",111.03891050583655,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-20965,10.0.2.1:30041",107.94246803779876,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-20965,10.0.3.1:30041",103.04280155642024,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-225,127.0.0.1:30041",213.8098943857699,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",284.2724734785036,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",360.67584863661654,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",282.5340591848129,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",127.25695216907675,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",206.98331479421577,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",121.87604224569203,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-2:0:5c,127.0.0.1:30041",245.30322401334075,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:48,127.0.0.1:0","71-88,127.0.0.1:30041",215.99249583101724,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","64-2:0:9,129.132.230.98:30041",141.19949986107252,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.1.1:30041",129.51430953042512,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.2.1:30041",142.58627396499028,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-20965,10.0.3.1:30041",134.3073075854404,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-225,127.0.0.1:30041",236.59738816337872,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:18,192.168.1.1:30041",310.5696026674076,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3b,10.1.0.1:30041",384.1083634342873,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3d,10.0.0.1:30041",308.82217282578495,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3e,10.10.0.1:30041",141.2900805779383,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:3f,10.10.0.1:30041",229.86829674909697,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:48,127.0.0.1:30041",236.91136426785215,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-2:0:4a,141.44.25.151:30041",174.68852459016392,127.0.0.1
2025-01-20 00:00:00+00:00,"71-2:0:5c,127.0.0.1:0","71-88,127.0.0.1:30041",238.04112253403724,127.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","64-2:0:9,129.132.230.98:30041",191.66082359488036,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.1.1:30041",179.70589872008904,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.2.1:30041",184.2170283806344,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-20965,10.0.3.1:30041",187.66611018363935,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-225,127.0.0.1:30041",300.67049593723726,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:18,192.168.1.1:30041",2.0280867630700774,10.0.0.1
2025-01-20 01:00:00+00:00,"71-2:0:3d,10.0.0.1:0","71-2:0:3b,10.1.0.1:30041",433.3088480801336,10.0.0.1
