"src_addr","dst_addr","avg"
"10.0.0.1","128.112.49.68","284.4460180619449324"
"10.0.0.1","129.132.230.98","376.2065062089889226"
"10.0.0.1","134.75.253.186","357.0531460021450641"
"10.0.0.1","134.75.254.171","268.6220474003015421"
"10.0.0.1","134.75.254.214","114.6477699509821208"
"10.0.0.1","134.75.254.68","1.0526315789473684"
"10.0.0.1","137.132.22.29","328.6581127179491706"
"10.0.0.1","141.44.25.151","382.5698715616559175"
"10.0.0.1","145.40.89.243","321.2077270059010721"
"10.0.0.1","200.129.206.243","418.7503018184145650"
"10.0.0.1","62.40.110.132","368.7943704951503619"
"10.0.0.1","62.40.110.140","363.6122455279282616"
"10.0.0.1","62.40.110.148","371.9859408660832214"
"10.0.1.1","128.112.49.68","101.1082327575725645"
"10.0.1.1","129.132.230.98","12.0352541275493687"
"10.0.1.1","134.75.253.186","32.2325950777558975"
"10.0.1.1","134.75.254.171","98.7825819306970792"
"10.0.1.1","134.75.254.214","253.5701185924437820"
"10.0.1.1","134.75.254.68","328.3007679595606105"
"10.0.1.1","137.132.22.29","173.9840847946581958"
"10.0.1.1","141.44.25.151","36.9639336301092675"
"10.0.1.1","145.40.89.243","101.8474298951870272"
"10.0.1.1","200.129.206.243","141.7178001720136962"
"10.0.1.1","62.40.110.132","1.0153846153846154"
"10.0.1.1","62.40.110.140","16.0173368298368298"
"10.0.1.1","62.40.110.148","8.0061476735908885"
"10.0.2.1","128.112.49.68","85.5677215189873418"
"10.0.2.1","129.132.230.98","12.5320754716981132"
"10.0.2.1","134.75.253.186","18.2237288135593220"
"10.0.2.1","134.75.254.171","94.5636904761904762"
"10.0.2.1","134.75.254.214","246.2646007151370679"
"10.0.2.1","134.75.254.68","344.2370149253731343"
"10.0.2.1","137.132.22.29","186.6232835820895522"
"10.0.2.1","141.44.25.151","31.9595687331536388"
"10.0.2.1","145.40.89.243","85.7839762611275964"
"10.0.2.1","200.129.206.243","155.0525059665871122"
"10.0.2.1","62.40.110.132","16.0247978436657682"
"10.0.2.1","62.40.110.140","1.0909090909090909"
"10.0.2.1","62.40.110.148","8.0312837108953614"
"10.0.3.1","128.112.49.68","88.2953204047217538"
"10.0.3.1","129.132.230.98","4.0520590520590521"
"10.0.3.1","134.75.253.186","28.5529292929292929"
"10.0.3.1","134.75.254.171","102.3842687423187218"
"10.0.3.1","134.75.254.214","252.8856557377049180"
"10.0.3.1","134.75.254.68","327.2174447174447174"
"10.0.3.1","137.132.22.29","187.0845301600328272"
"10.0.3.1","141.44.25.151","39.8401880141010576"
"10.0.3.1","145.40.89.243","93.8571428571428571"
"10.0.3.1","200.129.206.243","147.9491386382280558"
"10.0.3.1","62.40.110.132","8.0089355089355089"
"10.0.3.1","62.40.110.140","8.0268065268065268"
"10.0.3.1","62.40.110.148","1.00000000000000000000"
"10.1.0.1","128.112.49.68","173.1954214826624153"
"10.1.0.1","129.132.230.98","261.5679404074065460"
"10.1.0.1","134.75.253.186","242.2675832954126490"
"10.1.0.1","134.75.254.171","154.0459807522432470"
"10.1.0.1","134.75.254.214","1.4031083050024284"
"10.1.0.1","134.75.254.68","110.9345330215937245"
"10.1.0.1","137.132.22.29","240.5803957818295475"
"10.1.0.1","141.44.25.151","267.2957446278314464"
"10.1.0.1","145.40.89.243","233.0624380195542067"
"10.1.0.1","200.129.206.243","312.7842987855598070"
"10.1.0.1","62.40.110.132","253.9101663014822776"
"10.1.0.1","62.40.110.140","248.9973040270162074"
"10.1.0.1","62.40.110.148","257.0933560867643491"
"10.10.0.1","128.112.49.68","63.6900501191187978"
"10.10.0.1","129.132.230.98","63.1979662261832222"
"10.10.0.1","134.75.253.186","87.9011517656979494"
"10.10.0.1","134.75.254.171","86.1200884725474889"
"10.10.0.1","134.75.254.214","198.1713777837953162"
"10.10.0.1","134.75.254.68","308.8869947014500485"
"10.10.0.1","137.132.22.29","435.7569890132680625"
"10.10.0.1","141.44.25.151","69.3432681624139880"
"10.10.0.1","145.40.89.243","435.1098083431913775"
"10.10.0.1","200.129.206.243","202.5249849321355707"
"10.10.0.1","62.40.110.132","55.3836590372185630"
"10.10.0.1","62.40.110.140","50.7716663452582687"
"10.10.0.1","62.40.110.148","58.8528034339026069"
"10.230.53.144","128.112.49.68","9.0418972475243001"
"10.230.53.144","129.132.230.98","92.2217345118237812"
"10.230.53.144","134.75.253.186","308.2720012639977880"
"10.230.53.144","134.75.254.171","219.5807020897748440"
"10.230.53.144","134.75.254.214","219.6876039716580962"
"10.230.53.144","134.75.254.68","308.0831904825853747"
"10.230.53.144","137.132.22.29","237.0263808282995776"
"10.230.53.144","141.44.25.151","111.0487847553353647"
"10.230.53.144","145.40.89.243","3.0702291976506768"
"10.230.53.144","200.129.206.243","157.2837082819074555"
"10.230.53.144","62.40.110.132","80.0433881529696377"
"10.230.53.144","62.40.110.140","91.3011151654621829"
"10.230.53.144","62.40.110.148","88.1879580021216463"
"127.0.0.1","128.112.49.68","75.7686757773439360"
"127.0.0.1","129.132.230.98","119.8244960347939446"
"127.0.0.1","134.75.253.186","373.1647190208422527"
"127.0.0.1","134.75.254.171","279.5529663277594012"
"127.0.0.1","134.75.254.214","268.7631715845536744"
"127.0.0.1","134.75.254.68","367.2543381901752808"
"127.0.0.1","137.132.22.29","285.0011217606300174"
"127.0.0.1","141.44.25.151","141.2678231214753848"
"127.0.0.1","145.40.89.243","131.3034209403012379"
"127.0.0.1","200.129.206.243","133.4944634679361367"
"127.0.0.1","62.40.110.132","120.2142949754415937"
"127.0.0.1","62.40.110.140","117.4215531024272234"
"127.0.0.1","62.40.110.148","118.1394146378691903"
"141.44.25.151","128.112.49.68","105.0828863072454360"
"141.44.25.151","129.132.230.98","44.2884743622575108"
"141.44.25.151","134.75.253.186","25.2202576545876817"
"141.44.25.151","134.75.254.171","114.0430358687189164"
"141.44.25.151","134.75.254.214","266.8214286620148786"
"141.44.25.151","134.75.254.68","376.3474065505905272"
"141.44.25.151","137.132.22.29","202.9793180647110037"
"141.44.25.151","141.44.25.151","1.13576294837068045637"
"141.44.25.151","145.40.89.243","110.4348991484548945"
"141.44.25.151","200.129.206.243","178.3863447550475474"
"141.44.25.151","62.40.110.132","36.9681235406118718"
"141.44.25.151","62.40.110.140","32.0304994764636833"
"141.44.25.151","62.40.110.148","40.0335175131415125"
