"minute","avg_rtt","success_ratio","prcount"
"2025-01-19 23:59:00+00","194.3333333333333333","1.00000000000000000000","6"
"2025-01-20 00:00:00+00","160.8225157955198162","1.00000000000000000000","5223"
"2025-01-20 00:01:00+00","160.7689655172413793","1.00000000000000000000","5220"
"2025-01-20 00:02:00+00","160.8149425287356322","1.00000000000000000000","5220"
"2025-01-20 00:03:00+00","160.8095785440613027","1.00000000000000000000","5220"
"2025-01-20 00:04:00+00","160.8249042145593870","1.00000000000000000000","5220"
"2025-01-20 00:05:00+00","160.9424073718564024","1.00000000000000000000","5209"
"2025-01-20 00:06:00+00","160.7649425287356322","1.00000000000000000000","5220"
"2025-01-20 00:07:00+00","160.7840996168582375","1.00000000000000000000","5220"
"2025-01-20 00:08:00+00","160.8381226053639847","1.00000000000000000000","5220"
"2025-01-20 00:09:00+00","160.8739463601532567","1.00000000000000000000","5220"
"2025-01-20 00:10:00+00","161.2559386973180077","1.00000000000000000000","5220"
"2025-01-20 00:11:00+00","160.8538314176245211","1.00000000000000000000","5220"
"2025-01-20 00:12:00+00","160.8597701149425287","1.00000000000000000000","5220"
"2025-01-20 00:13:00+00","160.8496168582375479","1.00000000000000000000","5220"
"2025-01-20 00:14:00+00","160.7781609195402299","1.00000000000000000000","5220"
"2025-01-20 00:15:00+00","160.7568965517241379","1.00000000000000000000","5220"
"2025-01-20 00:16:00+00","160.7873563218390805","1.00000000000000000000","5220"
"2025-01-20 00:17:00+00","160.9892720306513410","1.00000000000000000000","5220"
"2025-01-20 00:18:00+00","161.0145593869731801","1.00000000000000000000","5220"
"2025-01-20 00:19:00+00","160.9459770114942529","1.00000000000000000000","5220"
"2025-01-20 00:20:00+00","161.1209445191015550","1.00000000000000000000","5209"
"2025-01-20 00:21:00+00","160.9298850574712644","1.00000000000000000000","5220"
"2025-01-20 00:22:00+00","161.6980842911877395","1.00000000000000000000","5220"
"2025-01-20 00:23:00+00","161.0373563218390805","1.00000000000000000000","5220"
"2025-01-20 00:24:00+00","160.9875478927203065","1.00000000000000000000","5220"
"2025-01-20 00:25:00+00","160.8908045977011494","1.00000000000000000000","5220"
"2025-01-20 00:26:00+00","160.8747126436781609","1.00000000000000000000","5220"
"2025-01-20 00:27:00+00","160.9471264367816092","1.00000000000000000000","5220"
"2025-01-20 00:28:00+00","160.8879310344827586","1.00000000000000000000","5220"
"2025-01-20 00:29:00+00","160.9913793103448276","1.00000000000000000000","5220"
"2025-01-20 00:30:00+00","160.8969604282164022","1.00000000000000000000","5231"
"2025-01-20 00:31:00+00","160.8998084291187739","1.00000000000000000000","5220"
"2025-01-20 00:32:00+00","160.9337164750957854","1.00000000000000000000","5220"
"2025-01-20 00:33:00+00","160.8816091954022989","1.00000000000000000000","5220"
"2025-01-20 00:34:00+00","160.9777777777777778","1.00000000000000000000","5220"
"2025-01-20 00:35:00+00","161.0927241313111922","1.00000000000000000000","5209"
"2025-01-20 00:36:00+00","160.9509578544061303","1.00000000000000000000","5220"
"2025-01-20 00:37:00+00","160.9475095785440613","1.00000000000000000000","5220"
"2025-01-20 00:38:00+00","160.9438697318007663","1.00000000000000000000","5220"
"2025-01-20 00:39:00+00","160.9116858237547893","1.00000000000000000000","5220"
"2025-01-20 00:40:00+00","161.1559792027729636","1.00000000000000000000","5193"
"2025-01-20 00:41:00+00","160.8047892720306513","1.00000000000000000000","5220"
"2025-01-20 00:42:00+00","160.8568965517241379","1.00000000000000000000","5220"
"2025-01-20 00:43:00+00","160.8097701149425287","1.00000000000000000000","5220"
"2025-01-20 00:44:00+00","160.8908045977011494","1.00000000000000000000","5220"
"2025-01-20 00:45:00+00","160.7343660355708548","1.00000000000000000000","5229"
"2025-01-20 00:46:00+00","160.9703008239126269","1.00000000000000000000","5219"
"2025-01-20 00:47:00+00","160.8498084291187739","1.00000000000000000000","5220"
"2025-01-20 00:48:00+00","160.8840996168582375","1.00000000000000000000","5220"
"2025-01-20 00:49:00+00","161.6340996168582375","1.00000000000000000000","5220"
"2025-01-20 00:50:00+00","177.9053197618590359","1.00000000000000000000","5207"
"2025-01-20 00:51:00+00","177.5510871656725034","1.00000000000000000000","5197"
"2025-01-20 00:52:00+00","177.8697406340057637","1.00000000000000000000","5205"
"2025-01-20 00:53:00+00","177.3489312536106297","1.00000000000000000000","5193"
"2025-01-20 00:54:00+00","178.3860929696504034","1.00000000000000000000","5206"
"2025-01-20 00:55:00+00","178.8741798533384794","1.00000000000000000000","5182"
"2025-01-20 00:56:00+00","179.5950860901528342","1.00000000000000000000","5169"
"2025-01-20 00:57:00+00","179.4323908443931525","1.00000000000000000000","5199"
"2025-01-20 00:58:00+00","179.7403495294795468","1.00000000000000000000","5207"
"2025-01-20 00:59:00+00","176.7006369426751592","1.00000000000000000000","5181"
"2025-01-20 01:00:00+00","174.8848671544089334","1.00000000000000000000","5194"
"2025-01-20 01:01:00+00","174.5874783944689841","1.00000000000000000000","5207"
"2025-01-20 01:02:00+00","174.5601460415065334","1.00000000000000000000","5204"
"2025-01-20 01:03:00+00","174.4056966897613549","1.00000000000000000000","5196"
"2025-01-20 01:04:00+00","174.8086206896551724","1.00000000000000000000","5220"
"2025-01-20 01:05:00+00","174.4109272797229704","1.00000000000000000000","5198"
"2025-01-20 01:06:00+00","174.2887351018838908","1.00000000000000000000","5202"
"2025-01-20 01:07:00+00","174.1477272727272727","1.00000000000000000000","5192"
"2025-01-20 01:08:00+00","173.8251024790162014","1.00000000000000000000","5123"
"2025-01-20 01:09:00+00","174.5773294908741595","1.00000000000000000000","5205"
