"hour","avg_rtt","success_ratio","prcount","src_scion_addr"
"2025-01-19 23:00:00+00","184.5000000000000000","1.00000000000000000000","2","71-20965,10.0.2.1:0"
"2025-01-19 23:00:00+00","171.0000000000000000","1.00000000000000000000","1","71-225,10.230.53.144:0"
"2025-01-19 23:00:00+00","208.6666666666666667","1.00000000000000000000","3","71-2:0:3e,10.10.0.1:0"
"2025-01-20 00:00:00+00","117.3507956554685527","1.00000000000000000000","39590","71-20965,10.0.1.1:0"
"2025-01-20 00:00:00+00","112.8045500505561173","1.00000000000000000000","39560","71-20965,10.0.2.1:0"
"2025-01-20 00:00:00+00","160.3312644465371115","1.00000000000000000000","46724","71-225,10.230.53.144:0"
"2025-01-20 00:00:00+00","234.9062132392257513","1.00000000000000000000","46755","71-2:0:3d,10.0.0.1:0"
"2025-01-20 00:00:00+00","98.4295857481982078","1.00000000000000000000","46759","71-2:0:3e,10.10.0.1:0"
"2025-01-20 00:00:00+00","191.9149851282819421","1.00000000000000000000","46733","71-2:0:48,127.0.0.1:0"
"2025-01-20 00:00:00+00","216.0387928270673478","1.00000000000000000000","46787","71-2:0:5c,127.0.0.1:0"
"2025-01-20 01:00:00+00","124.2888234248419128","1.00000000000000000000","39377","71-20965,10.0.1.1:0"
"2025-01-20 01:00:00+00","117.6997827624532687","1.00000000000000000000","39588","71-20965,10.0.2.1:0"
"2025-01-20 01:00:00+00","122.0416759669653391","1.00000000000000000000","31361","71-20965,10.0.3.1:0"
"2025-01-20 01:00:00+00","154.4377113022638764","1.00000000000000000000","46734","71-225,10.230.53.144:0"
"2025-01-20 01:00:00+00","240.6064263054102718","1.00000000000000000000","46652","71-2:0:3d,10.0.0.1:0"
"2025-01-20 01:00:00+00","102.0749855550086670","1.00000000000000000000","46729","71-2:0:3e,10.10.0.1:0"
"2025-01-20 01:00:00+00","232.6141578063794068","1.00000000000000000000","46462","71-2:0:48,127.0.0.1:0"
"2025-01-20 01:00:00+00","225.2015051780698557","1.00000000000000000000","46639","71-2:0:5c,127.0.0.1:0"
"2025-01-20 02:00:00+00","122.8254004345409530","1.00000000000000000000","39582","71-20965,10.0.1.1:0"
"2025-01-20 02:00:00+00","117.6174137146899793","1.00000000000000000000","39578","71-20965,10.0.2.1:0"
"2025-01-20 02:00:00+00","122.2137626262626263","1.00000000000000000000","39600","71-20965,10.0.3.1:0"
"2025-01-20 02:00:00+00","154.5313247863247863","1.00000000000000000000","46800","71-225,10.230.53.144:0"
"2025-01-20 02:00:00+00","240.1739083743207543","1.00000000000000000000","46559","71-2:0:3d,10.0.0.1:0"
"2025-01-20 02:00:00+00","102.0624745842518674","1.00000000000000000000","46723","71-2:0:3e,10.10.0.1:0"
"2025-01-20 02:00:00+00","232.4138675213675214","1.00000000000000000000","46800","71-2:0:48,127.0.0.1:0"
"2025-01-20 02:00:00+00","223.5299554946935981","1.00000000000000000000","46736","71-2:0:5c,127.0.0.1:0"
"2025-01-20 03:00:00+00","122.9074148903929690","1.00000000000000000000","39596","71-20965,10.0.1.1:0"
"2025-01-20 03:00:00+00","117.7018146893797705","1.00000000000000000000","39566","71-20965,10.0.2.1:0"
"2025-01-20 03:00:00+00","122.1737208949946967","1.00000000000000000000","39598","71-20965,10.0.3.1:0"
"2025-01-20 03:00:00+00","154.4843868779603532","1.00000000000000000000","34202","71-225,10.230.53.144:0"
"2025-01-20 03:00:00+00","240.2342754521742849","1.00000000000000000000","46774","71-2:0:3d,10.0.0.1:0"
"2025-01-20 03:00:00+00","102.0543920510514369","1.00000000000000000000","46698","71-2:0:3e,10.10.0.1:0"
"2025-01-20 03:00:00+00","232.4330150710738140","1.00000000000000000000","46712","71-2:0:48,127.0.0.1:0"
"2025-01-20 03:00:00+00","223.6978471152199966","1.00000000000000000000","46728","71-2:0:5c,127.0.0.1:0"
"2025-01-20 04:00:00+00","123.1263569805604645","1.00000000000000000000","39610","71-20965,10.0.1.1:0"
"2025-01-20 04:00:00+00","117.6671212121212121","1.00000000000000000000","39600","71-20965,10.0.2.1:0"
"2025-01-20 04:00:00+00","122.1158062234794908","1.00000000000000000000","39592","71-20965,10.0.3.1:0"
"2025-01-20 04:00:00+00","239.9945299145299145","1.00000000000000000000","46800","71-2:0:3d,10.0.0.1:0"
"2025-01-20 04:00:00+00","101.9397863247863248","1.00000000000000000000","46800","71-2:0:3e,10.10.0.1:0"
