"minute","avg_rtt","prcount"
"2025-01-20 01:36:00+00","228.3449552607219994","3241"
"2025-01-20 01:37:00+00","228.2083847102342787","3244"
"2025-01-20 01:38:00+00","228.3522516964836521","3242"
"2025-01-20 01:39:00+00","228.3661623958011732","3239"
"2025-01-20 01:40:00+00","230.0872436565867223","2877"
"2025-01-20 01:41:00+00","233.8685857321652065","2397"
"2025-01-20 01:42:00+00","233.9265442404006678","2396"
"2025-01-20 01:43:00+00","233.9287500000000000","2400"
"2025-01-20 01:44:00+00","226.3441330998248687","2284"
"2025-01-20 01:45:00+00","163.2129629629629630","1620"
"2025-01-20 01:46:00+00","163.1950617283950617","1620"
"2025-01-20 01:47:00+00","163.2037037037037037","1620"
"2025-01-20 01:48:00+00","163.1932098765432099","1620"
"2025-01-20 01:49:00+00","163.2043209876543210","1620"
"2025-01-20 01:50:00+00","163.2018518518518519","1620"
"2025-01-20 01:51:00+00","163.1876543209876543","1620"
"2025-01-20 01:52:00+00","163.1907407407407407","1620"
"2025-01-20 01:53:00+00","163.1925925925925926","1620"
"2025-01-20 01:54:00+00","163.3392420537897311","1636"
"2025-01-20 01:55:00+00","175.8301503453880536","2461"
"2025-01-20 01:56:00+00","175.7806661251015435","2462"
"2025-01-20 01:57:00+00","176.0166666666666667","2460"
"2025-01-20 01:58:00+00","175.8043036946812830","2463"
"2025-01-20 01:59:00+00","175.9914634146341463","2460"
"2025-01-20 02:00:00+00","175.8455912230800488","2461"
"2025-01-20 02:01:00+00","175.8386834620073141","2461"
"2025-01-20 02:02:00+00","175.7598537180008127","2461"
"2025-01-20 02:03:00+00","175.9292970337261276","2461"
"2025-01-20 02:04:00+00","175.7518277822908205","2462"
"2025-01-20 02:05:00+00","175.9707198047986987","2459"
"2025-01-20 02:06:00+00","175.9122308004876067","2461"
"2025-01-20 02:07:00+00","175.9309223892726534","2461"
"2025-01-20 02:08:00+00","175.8002436053593179","2463"
"2025-01-20 02:09:00+00","175.8203982121088988","2461"
"2025-01-20 02:10:00+00","173.5808100668501770","2543"
"2025-01-20 02:11:00+00","175.8476848090982941","2462"
"2025-01-20 02:12:00+00","175.7522339561332250","2462"
"2025-01-20 02:13:00+00","175.8310316815597076","2462"
"2025-01-20 02:14:00+00","175.7012987012987013","2464"
"2025-01-20 02:15:00+00","175.9138211382113821","2460"
"2025-01-20 02:16:00+00","175.9138911454102356","2462"
"2025-01-20 02:17:00+00","175.8708367181153534","2462"
"2025-01-20 02:18:00+00","175.7876573284612261","2463"
"2025-01-20 02:19:00+00","175.9939024390243902","2460"
"2025-01-20 02:20:00+00","175.7583265637692933","2462"
"2025-01-20 02:21:00+00","174.9170731707317073","1845"
"2025-01-20 02:22:00+00","174.9253302699597932","1741"
"2025-01-20 02:23:00+00","175.0505747126436782","1740"
"2025-01-20 02:24:00+00","174.9012629161882893","1742"
"2025-01-20 02:25:00+00","184.0440224428139836","2317"
"2025-01-20 02:26:00+00","186.9949690402476780","2584"
"2025-01-20 02:27:00+00","186.9272727272727273","2585"
"2025-01-20 02:28:00+00","187.0542005420054201","2583"
"2025-01-20 02:29:00+00","187.3837524177949710","2585"
"2025-01-20 02:30:00+00","186.7237248840803709","2588"
"2025-01-20 02:31:00+00","186.9156999226604795","2586"
"2025-01-20 02:32:00+00","187.1487219209914795","2582"
"2025-01-20 02:33:00+00","186.6042471042471042","2590"
"2025-01-20 02:34:00+00","187.0077489345215033","2581"
"2025-01-20 02:35:00+00","187.0042569659442724","2584"
"2025-01-20 02:36:00+00","187.0069659442724458","2584"
"2025-01-20 02:37:00+00","186.9168278529980658","2585"
"2025-01-20 02:38:00+00","186.8642691415313225","2586"
"2025-01-20 02:39:00+00","185.5049633146309883","2317"
"2025-01-20 02:40:00+00","222.7702397105382180","2211"
"2025-01-20 02:41:00+00","242.2447441491471638","2521"
"2025-01-20 02:42:00+00","242.2708168120539255","2522"
"2025-01-20 02:43:00+00","242.1684502576298058","2523"
"2025-01-20 02:44:00+00","242.1957986523979390","2523"
"2025-01-20 02:45:00+00","239.6363271852445870","2494"
"2025-01-20 02:46:00+00","242.1673938913129710","2521"
"2025-01-20 02:47:00+00","242.2982943276477588","2521"
"2025-01-20 02:48:00+00","242.0871632329635499","2524"
"2025-01-20 02:49:00+00","242.1276258422512881","2523"
"2025-01-20 02:50:00+00","242.4650793650793651","2520"
"2025-01-20 02:51:00+00","242.2930214115781126","2522"
"2025-01-20 02:52:00+00","242.2791435368754956","2522"
"2025-01-20 02:53:00+00","242.3637445458151527","2521"
"2025-01-20 02:54:00+00","242.2989690721649485","2522"
"2025-01-20 02:55:00+00","242.0661648177496038","2524"
"2025-01-20 02:56:00+00","241.9801980198019802","2525"
"2025-01-20 02:57:00+00","242.2656621728786677","2522"
"2025-01-20 02:58:00+00","241.9164687252573238","2526"
"2025-01-20 02:59:00+00","241.9833663366336634","2525"
"2025-01-20 03:00:00+00","242.1894569956401110","2523"
"2025-01-20 03:01:00+00","242.5156808257244938","2519"
"2025-01-20 03:02:00+00","242.0919175911251981","2524"
"2025-01-20 03:03:00+00","241.9101346001583531","2526"
"2025-01-20 03:04:00+00","242.1010301109350238","2524"
"2025-01-20 03:05:00+00","241.9303246239113222","2526"
"2025-01-20 03:06:00+00","242.2747819191118160","2522"
"2025-01-20 03:07:00+00","241.7183544303797468","2528"
"2025-01-20 03:08:00+00","242.3271213322759715","2522"
"2025-01-20 03:09:00+00","242.1129160063391442","2524"
"2025-01-20 03:10:00+00","242.5145867098865478","2468"
"2025-01-20 03:11:00+00","242.6779055930186434","2521"
"2025-01-20 03:12:00+00","242.8409361364537882","2521"
"2025-01-20 03:13:00+00","242.9853174603174603","2520"
"2025-01-20 03:14:00+00","242.9016263387544625","2521"
"2025-01-20 03:15:00+00","240.4083395942900075","2662"
"2025-01-20 03:16:00+00","232.1361879274457330","3363"
"2025-01-20 03:17:00+00","232.2508182088664088","3361"
"2025-01-20 03:18:00+00","231.5744617224880383","3344"
"2025-01-20 03:19:00+00","232.1911983348201011","3363"
"2025-01-20 03:20:00+00","231.8929527207850134","3363"
"2025-01-20 03:21:00+00","231.8622843545508626","3362"
"2025-01-20 03:22:00+00","231.7187871581450654","3364"
"2025-01-20 03:23:00+00","231.6534918276374443","3365"
"2025-01-20 03:24:00+00","231.7164090368608799","3364"
"2025-01-20 03:25:00+00","231.9006248140434395","3361"
"2025-01-20 03:26:00+00","231.6677563150074294","3365"
"2025-01-20 03:27:00+00","231.7853107344632768","3363"
"2025-01-20 03:28:00+00","231.8402261231776257","3361"
"2025-01-20 03:29:00+00","231.7811477847160274","3363"
"2025-01-20 03:30:00+00","231.9267857142857143","3360"
"2025-01-20 03:31:00+00","231.9172865218684915","3361"
"2025-01-20 03:32:00+00","231.5843731431966726","3366"
"2025-01-20 03:33:00+00","231.9062778934840821","3361"
"2025-01-20 03:34:00+00","231.7095719381688466","3364"
"2025-01-20 03:35:00+00","231.8423557406305770","3362"
"2025-01-20 03:36:00+00","231.9116334424278489","3361"
"2025-01-20 03:37:00+00","231.9815421256326288","3359"
"2025-01-20 03:38:00+00","231.7136485280999108","3363"
"2025-01-20 03:39:00+00","231.9988059701492537","3350"
"2025-01-20 03:40:00+00","231.7811477847160274","3363"
"2025-01-20 03:41:00+00","231.9110383814340970","3361"
"2025-01-20 03:42:00+00","231.8370017846519929","3362"
"2025-01-20 03:43:00+00","234.5836936380481779","3238"
"2025-01-20 03:44:00+00","261.2224025974025974","2464"
"2025-01-20 03:45:00+00","261.3583908980089395","2461"
"2025-01-20 03:46:00+00","261.2538586515028432","2462"
"2025-01-20 03:47:00+00","261.4254368143031288","2461"
