"hour","avg_rtt"
"2025-01-19 23:00:00+00","194.3333333333333333"
"2025-01-20 00:00:00+00","163.8240728904342490"
"2025-01-20 01:00:00+00","168.5499473135744683"
"2025-01-20 02:00:00+00","167.0457718699805323"
"2025-01-20 03:00:00+00","167.5855169857064677"
"2025-01-20 04:00:00+00","169.0460905403594552"
"2025-01-20 05:00:00+00","165.5365033146819122"
"2025-01-20 06:00:00+00","168.7333961874394191"
"2025-01-20 07:00:00+00","170.8419856697405958"
"2025-01-20 08:00:00+00","160.5687715249501527"
"2025-01-20 09:00:00+00","170.8041208278948350"
"2025-01-20 10:00:00+00","2.6666666666666667"
"2025-01-20 11:00:00+00","176.5670895701029331"
"2025-01-20 12:00:00+00","177.2503756855886808"
"2025-01-20 13:00:00+00","179.7142110487526792"
"2025-01-20 14:00:00+00","181.7266569519337892"
"2025-01-20 15:00:00+00","181.9954538642154169"
"2025-01-20 16:00:00+00","187.8008228216082307"
"2025-01-20 17:00:00+00","157.0890723144991659"
"2025-01-20 18:00:00+00","155.1937830223034314"
"2025-01-20 19:00:00+00","160.6520489860706425"
"2025-01-20 20:00:00+00","164.4961624037647429"
"2025-01-20 21:00:00+00","177.7301604771338428"
"2025-01-20 22:00:00+00","180.3277129920211226"
"2025-01-20 23:00:00+00","189.3082916829186434"
"2025-01-21 00:00:00+00","233.2172550909748162"
"2025-01-21 08:00:00+00","164.5229259250165730"
"2025-01-21 09:00:00+00","165.4475892892457382"
"2025-01-21 10:00:00+00","170.2522788872672835"
"2025-01-21 11:00:00+00","158.5927376547345420"
"2025-01-21 12:00:00+00","160.6858337287287929"
"2025-01-21 13:00:00+00","163.7362575243369674"
"2025-01-21 14:00:00+00","168.3267146579516848"
"2025-01-21 15:00:00+00","162.8861665207505338"
"2025-01-21 16:00:00+00","162.8510951226298843"
"2025-01-21 17:00:00+00","160.0144588928484334"
"2025-01-21 18:00:00+00","166.5703581700496588"
"2025-01-21 19:00:00+00","164.2705628061602077"
"2025-01-21 20:00:00+00","159.4096325968865070"
"2025-01-21 21:00:00+00","158.9820066268276805"
"2025-01-21 22:00:00+00","157.8714492693052479"
"2025-01-21 23:00:00+00","159.8589836892513500"
"2025-01-22 00:00:00+00","168.9475696498013744"
"2025-01-22 01:00:00+00","160.7892136928348733"
"2025-01-22 02:00:00+00","157.9651926579222002"
"2025-01-22 03:00:00+00","161.8149120019971178"
"2025-01-22 04:00:00+00","149.2169136890151724"
"2025-01-22 05:00:00+00","156.1695699977120777"
"2025-01-22 06:00:00+00","158.6147987859712230"
"2025-01-22 07:00:00+00","168.2042945083315405"
"2025-01-22 08:00:00+00","164.3255791532808579"
"2025-01-22 09:00:00+00","165.0191354050975870"
"2025-01-22 10:00:00+00","158.6746701876870070"
"2025-01-22 11:00:00+00","154.3736968707854037"
"2025-01-22 12:00:00+00","154.9702703650164867"
"2025-01-22 13:00:00+00","154.8882567568124071"
"2025-01-22 14:00:00+00","154.3603613499655083"
"2025-01-22 15:00:00+00","157.1092358731006662"
"2025-01-22 16:00:00+00","162.0711352991814640"
"2025-01-22 17:00:00+00","161.8811847892459225"
"2025-01-22 18:00:00+00","162.7649096897189754"
"2025-01-22 19:00:00+00","161.0348500592817279"
"2025-01-22 20:00:00+00","168.8545396746102930"
"2025-01-22 21:00:00+00","156.6146134148542550"
"2025-01-22 22:00:00+00","159.4039919304730403"
"2025-01-22 23:00:00+00","160.7004117108874657"
"2025-01-23 00:00:00+00","163.0232378234461192"
"2025-01-23 01:00:00+00","158.1556681650533496"
"2025-01-23 02:00:00+00","167.8957242568856938"
"2025-01-23 03:00:00+00","166.7614044880173088"
"2025-01-23 04:00:00+00","167.7470982558500403"
"2025-01-23 05:00:00+00","162.9844585871962577"
"2025-01-23 06:00:00+00","161.1518754213356252"
"2025-01-23 07:00:00+00","154.2268841250467601"
"2025-01-23 08:00:00+00","162.0990399663637850"
"2025-01-23 09:00:00+00","171.1207656638391315"
"2025-01-23 10:00:00+00","164.5155862401761322"
"2025-01-23 11:00:00+00","160.1776477525286887"
"2025-01-23 12:00:00+00","159.0718704653027328"
"2025-01-23 13:00:00+00","159.8088427776909160"
"2025-01-23 14:00:00+00","159.3987393352577538"
"2025-01-23 15:00:00+00","159.0287291866282227"
"2025-01-23 16:00:00+00","160.9114341103333861"
"2025-01-23 17:00:00+00","161.7739194709000160"
"2025-01-23 18:00:00+00","166.5543739032956382"
"2025-01-23 19:00:00+00","170.7925642684863816"
"2025-01-23 20:00:00+00","162.3917441790768258"
"2025-01-23 21:00:00+00","160.9823536801409039"
"2025-01-23 22:00:00+00","153.4840438064246097"
"2025-01-23 23:00:00+00","163.5795304710523689"
"2025-01-24 00:00:00+00","172.1952152638189133"
"2025-01-24 01:00:00+00","169.1555854053990082"
"2025-01-24 02:00:00+00","173.3604001250390747"
"2025-01-24 03:00:00+00","164.0798036840878819"
"2025-01-24 04:00:00+00","159.2049580405501623"
