hour,avg_rtt,prcount,src_addr
2025-01-20 16:00:00+00:00,244.5922546767312,15235,200.129.206.243
2025-01-20 17:00:00+00:00,380.3068206115031,46770,10.0.0.1
2025-01-20 17:00:00+00:00,182.82061430919148,43203,134.75.253.186
2025-01-20 18:00:00+00:00,379.9356611358194,46768,10.0.0.1
2025-01-20 18:00:00+00:00,154.84491905397542,29217,10.230.53.144
2025-01-20 18:00:00+00:00,182.8276851851852,43200,134.75.253.186
2025-01-20 19:00:00+00:00,379.90229325920774,14390,10.0.0.1
2025-01-20 19:00:00+00:00,154.20382697050044,53933,10.230.53.144
2025-01-20 19:00:00+00:00,181.79323930794268,35026,134.75.253.186
2025-01-20 19:00:00+00:00,204.51806369830453,50488,145.40.89.243
2025-01-20 20:00:00+00:00,153.56487037037036,54000,10.230.53.144
2025-01-20 20:00:00+00:00,181.24064187916088,31844,134.75.253.186
2025-01-20 21:00:00+00:00,153.53869969040247,20995,10.230.53.144
2025-01-21 08:00:00+00:00,380.3572140470188,17057,10.0.0.1
2025-01-21 08:00:00+00:00,151.85569329862795,45334,10.230.53.144
2025-01-21 08:00:00+00:00,179.06603833662356,15703,134.75.253.186
2025-01-21 08:00:00+00:00,170.0841488539789,15532,134.75.254.171
2025-01-21 08:00:00+00:00,122.20762654362872,22107,141.44.25.151
2025-01-21 08:00:00+00:00,201.90792157751585,17648,145.40.89.243
2025-01-21 08:00:00+00:00,219.59210433056916,14109,200.129.206.243
2025-01-21 09:00:00+00:00,154.50014355440712,20898,10.230.53.144
2025-01-21 09:00:00+00:00,185.13361406703464,17573,134.75.253.186
2025-01-21 09:00:00+00:00,184.12708279928225,15604,134.75.254.171
2025-01-21 09:00:00+00:00,122.37667608900485,13797,141.44.25.151
2025-01-21 09:00:00+00:00,209.4746215062112,20608,145.40.89.243
2025-01-21 10:00:00+00:00,122.3792775133016,17855,141.44.25.151
2025-01-21 10:00:00+00:00,202.15001981767736,35322,145.40.89.243
2025-01-21 10:00:00+00:00,220.31284108093888,30418,200.129.206.243
2025-01-21 11:00:00+00:00,122.18444733420026,19225,141.44.25.151
2025-01-21 11:00:00+00:00,201.07523703733088,50414,145.40.89.243
2025-01-21 11:00:00+00:00,220.35801416579224,15248,200.129.206.243
2025-01-21 12:00:00+00:00,380.39764524908287,33804,10.0.0.1
2025-01-21 12:00:00+00:00,233.98160592078776,32293,10.1.0.1
2025-01-21 12:00:00+00:00,151.02426042827082,40395,10.230.53.144
2025-01-21 12:00:00+00:00,178.04385354308783,14366,134.75.253.186
2025-01-21 12:00:00+00:00,169.23053441498703,23914,134.75.254.171
2025-01-21 12:00:00+00:00,122.22977692252869,14031,141.44.25.151
2025-01-21 12:00:00+00:00,198.70495181123297,15045,145.40.89.243
2025-01-21 13:00:00+00:00,234.24519979242345,38540,10.1.0.1
2025-01-21 13:00:00+00:00,151.15701413295446,53492,10.230.53.144
2025-01-21 13:00:00+00:00,169.7212441314554,25560,134.75.254.171
2025-01-21 13:00:00+00:00,122.26975130439388,37757,141.44.25.151
2025-01-21 13:00:00+00:00,200.30644420633703,32665,145.40.89.243
2025-01-21 14:00:00+00:00,234.07347544993883,22892,10.1.0.1
2025-01-21 14:00:00+00:00,151.2276015995536,53765,10.230.53.144
2025-01-21 14:00:00+00:00,169.46143633444484,32388,134.75.254.171
2025-01-21 14:00:00+00:00,122.79254305820146,25721,141.44.25.151
2025-01-21 14:00:00+00:00,200.77170194143855,50272,145.40.89.243
2025-01-21 15:00:00+00:00,380.74258880085455,22466,10.0.0.1
2025-01-21 15:00:00+00:00,233.93880767685508,32357,10.1.0.1
2025-01-21 15:00:00+00:00,150.98644169930702,53104,10.230.53.144
2025-01-21 15:00:00+00:00,169.2732061819682,31511,134.75.254.171
